LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
FBXL4	chr6	99365250	CMA1	chr14	24974865	FBXL4--CMA1	sim_heart.fusion_transcripts	FBXL4|ENSG00000112234.4--CMA1|ENSG00000092009.6 FBXL4|ENST00000229971.1--CMA1|ENST00000206446.4 chr6:99395849-99395682,99375698-99375581,99374936-99374353,99365595-99365250[-] chr14:24974865-24974712[-] FusedAt:1216	chr6:98917374	chr14:24505659	ONT_80	FBXL4|ENSG00000112234.4--CMA1|ENSG00000092009.6	1
PUS1	chr12	132414680	MEAF6	chr1	37975143	PUS1--MEAF6	sim_colon.fusion_transcripts	PUS1|ENSG00000177192.9--MEAF6|ENSG00000163875.11 PUS1|ENST00000537484.1--MEAF6|ENST00000373075.2 chr12:132414310-132414341,132414452-132414680[+] chr1:37975143-37975056,37974924-37974879,37967597-37967405,37962337-37962308,37961519-37961486,37959708-37958176[-] FusedAt:261	chr12:131930135	chr1:37509542	ONT_80	PUS1|ENSG00000177192.9--MEAF6|ENSG00000163875.11	1
FXYD7	chr19	35634268	ARHGAP39	chr8	145756000	FXYD7--ARHGAP39	sim_colon.fusion_transcripts	FXYD7|ENSG00000221946.3--ARHGAP39|ENSG00000147799.7 FXYD7|ENST00000586063.1--ARHGAP39|ENST00000276826.5 chr19:35634154-35634268[+] chr8:145756000-145754563[-] FusedAt:115	chr19:35143364	chr8:144530616	ONT_80	FXYD7|ENSG00000221946.3--ARHGAP39|ENSG00000147799.7	1
PAGR1	chr16	29831223	GLB1L2	chr11	134212648	PAGR1--GLB1L2	sim_testis.fusion_transcripts	PAGR1|ENSG00000185928.7--GLB1L2|ENSG00000149328.10 PAGR1|ENST00000562285.1--GLB1L2|ENST00000535456.2 chr16:29828560-29828613,29830876-29831223[+] chr11:134212648-134212845,134214281-134214349,134214928-134215023,134217219-134217327,134226195-134226287,134228954-134229035,134234222-134234292,134237151-134237235,134238538-134238675,134239699-134239779,134240187-134240293,134240902-134241042,134241315-134241386,134241646-134241724,134243615-134243702,134244039-134244150,134244496-134244612,134244866-134246218[+] FusedAt:402	chr16:29819902	chr11:134342754	ONT_80	PAGR1|ENSG00000185928.7--GLB1L2|ENSG00000149328.10	1
ZNF346	chr5	176489152	MYO6	chr6	76624530	ZNF346--MYO6	sim_heart.fusion_transcripts	ZNF346|ENSG00000113761.7--MYO6|ENSG00000196586.9 ZNF346|ENST00000512315.1--MYO6|ENST00000369977.3 chr5:176449697-176449914,176489059-176489152[+] chr6:76624530-76626329[+] FusedAt:312	chr5:177062151	chr6:75914813	ONT_80	ZNF346|ENSG00000113761.7--MYO6|ENSG00000196586.9	1
RGL4	chr22	24039432	FAM228B	chr2	24392225	RGL4--FAM228B	sim_testis.fusion_transcripts	RGL4|ENSG00000159496.10--FAM228B|ENSG00000219626.4 RGL4|ENST00000452208.1--FAM228B|ENST00000448919.1 chr22:24038671-24038875,24039358-24039432[+] chr2:24392225-24392506[+] FusedAt:280	chr22:23697245	chr2:24169356	ONT_80	RGL4|ENSG00000159496.10--FAM228B|ENSG00000219626.4	1
ONECUT3	chr19	1754853	FAM168B	chr2	131840230	ONECUT3--FAM168B	sim_adipose.fusion_transcripts	ONECUT3|ENSG00000205922.4--FAM168B|ENSG00000152102.13 ONECUT3|ENST00000382349.4--FAM168B|ENST00000409185.1 chr19:1752372-1754853[+] chr2:131840230-131840150,131829511-131829428,131813268-131813126,131813022-131812845,131810588-131810464,131810025-131805449[-] FusedAt:2482	chr19:1754854	chr2:131082657	ONT_80	ONECUT3|ENSG00000205922.4--FAM168B|ENSG00000152102.13	1
GPR83	chr11	94134027	COMMD2	chr3	149468638	GPR83--COMMD2	sim_brain.fusion_transcripts	GPR83|ENSG00000123901.4--COMMD2|ENSG00000114744.4 GPR83|ENST00000243673.2--COMMD2|ENST00000491617.1 chr11:94134585-94134027[-] chr3:149468638-149468465,149468169-149468044,149459505-149459177[-] FusedAt:559	chr11:94400861	chr3:149750851	ONT_80	GPR83|ENSG00000123901.4--COMMD2|ENSG00000114744.4	1
DUSP12	chr1	161721167	KHK	chr2	27322288	DUSP12--KHK	sim_colon.fusion_transcripts	DUSP12|ENSG00000081721.7--KHK|ENSG00000138030.8 DUSP12|ENST00000490591.1--KHK|ENST00000260599.6 chr1:161719595-161719878,161720922-161721167[+] chr2:27322288-27322445,27322533-27323619[+] FusedAt:530	chr1:161751377	chr2:27099420	ONT_80	DUSP12|ENSG00000081721.7--KHK|ENSG00000138030.8	1
PPAP2A	chr5	54737679	ZNF354A	chr5	178140622	PPAP2A--ZNF354A	sim_colon.fusion_transcripts	PPAP2A|ENSG00000067113.12--ZNF354A|ENSG00000169131.6 PPAP2A|ENST00000264775.5--ZNF354A|ENST00000335815.2 chr5:54830797-54830400,54786942-54786788,54763977-54763697,54737736-54737679[-] chr5:178140622-178138593[-] FusedAt:892	chr5:55441851	chr5:178713621	ONT_80	PPAP2A|ENSG00000067113.12--ZNF354A|ENSG00000169131.6	1
CXCL5	chr4	74863923	SLITRK5	chr13	88328462	CXCL5--SLITRK5	sim_heart.fusion_transcripts	CXCL5|ENSG00000163735.6--SLITRK5|ENSG00000165300.6 CXCL5|ENST00000296027.4--SLITRK5|ENST00000400028.3 chr4:74864496-74864190,74864055-74863923[-] chr13:88328462-88330562[+] FusedAt:440	chr4:73998206	chr13:87676207	ONT_80	CXCL5|ENSG00000163735.6--SLITRK5|ENSG00000165300.6	1
ALPP	chr2	233243588	AP1S2	chrX	15864134	ALPP--AP1S2	sim_testis.fusion_transcripts	ALPP|ENSG00000163283.6--AP1S2|ENSG00000182287.9 ALPP|ENST00000392027.2--AP1S2|ENST00000452376.1 chr2:233243244-233243588[+] chrX:15864134-15864026,15863639-15863502,15858714-15858620,15845495-15845015[-] FusedAt:345	chr2:232378878	chrX:15846011	ONT_80	ALPP|ENSG00000163283.6--AP1S2|ENSG00000182287.9	1
CAPN5	chr11	76831955	TRAV4	chr14	22204977	CAPN5--TRAV4	sim_heart.fusion_transcripts	CAPN5|ENSG00000149260.10--TRAV4|ENSG00000211778.2 CAPN5|ENST00000278559.3--TRAV4|ENST00000390426.2 chr11:76777988-76778141,76795898-76796097,76804728-76804859,76823635-76823843,76825288-76825480,76826441-76826634,76827272-76827349,76829203-76829398,76830076-76830198,76831759-76831955[+] chr14:22204977-22205264[+] FusedAt:1676	chr11:77120909	chr14:21736695	ONT_80	CAPN5|ENSG00000149260.10--TRAV4|ENSG00000211778.2	1
AC008394.1	chr5	86534632	MR1	chr1	181022709	AC008394.1--MR1	sim_colon.fusion_transcripts	AC008394.1|ENSG00000233828.2--MR1|ENSG00000153029.10 AC008394.1|ENST00000445770.2--MR1|ENST00000282990.6 chr5:86534822-86534632[-] chr1:181022709-181022813,181024361-181025689[+] FusedAt:191	chr5:87238815	chr1:181053573	ONT_80	AC008394.1|ENSG00000233828.2--MR1|ENSG00000153029.10	1
GOLGA7	chr8	41355180	KIAA1432	chr9	5689959	GOLGA7--KIAA1432	sim_testis.fusion_transcripts	GOLGA7|ENSG00000147533.12--KIAA1432|ENSG00000107036.7 GOLGA7|ENST00000518270.1--KIAA1432|ENST00000251879.6 chr8:41347915-41348085,41348352-41348484,41355028-41355180[+] chr9:5689959-5690038,5713896-5714003,5720182-5720324,5720614-5720750,5732388-5732479,5738450-5738538,5742869-5743013,5743689-5743737,5745931-5746083,5747302-5747505,5753200-5753238,5753536-5753646,5754841-5754930,5756212-5756372,5757313-5757451,5762541-5762660,5763140-5763868,5765414-5765572,5765662-5765798,5768970-5769674[+] FusedAt:457	chr8:41497661	chr9:5689959	ONT_80	GOLGA7|ENSG00000147533.12--KIAA1432|ENSG00000107036.7	1
CTSO	chr4	156849488	FAM65A	chr16	67572575	CTSO--FAM65A	sim_adipose.fusion_transcripts	CTSO|ENSG00000256043.2--FAM65A|ENSG00000039523.13 CTSO|ENST00000433477.3--FAM65A|ENST00000566920.1 chr4:156875069-156874865,156864416-156864308,156863608-156863469,156860690-156860523,156858635-156858514,156850857-156850694,156849580-156849488[-] chr16:67572575-67572728[+] FusedAt:1001	chr4:155928336	chr16:67538672	ONT_80	CTSO|ENSG00000256043.2--FAM65A|ENSG00000039523.13	1
PRAMEF18	chr1	13476271	KIF11	chr10	94381142	PRAMEF18--KIF11	sim_adipose.fusion_transcripts	PRAMEF18|ENSG00000204491.2--KIF11|ENSG00000138160.4 PRAMEF18|ENST00000376126.2--KIF11|ENST00000260731.3 chr1:13477522-13477236,13476849-13476271[-] chr10:94381142-94381230,94388565-94388652,94389933-94390121,94392243-94392450,94393380-94393552,94396941-94397066,94397144-94397302,94399551-94399657,94405120-94405399,94407969-94408191,94409592-94409743,94410158-94410274,94413422-94415150[+] FusedAt:866	chr1:13370649	chr10:92621385	ONT_80	PRAMEF18|ENSG00000204491.2--KIF11|ENSG00000138160.4	1
LEO1	chr15	52254586	PTGDS	chr9	139874635	LEO1--PTGDS	sim_brain.fusion_transcripts	LEO1|ENSG00000166477.8--PTGDS|ENSG00000107317.7 LEO1|ENST00000299601.5--PTGDS|ENST00000224167.2 chr15:52264003-52263885,52258701-52257946,52254690-52254586[-] chr9:139874635-139874736,139875285-139875307,139876031-139876193[+] FusedAt:980	chr15:51962389	chr9:136980183	ONT_80	LEO1|ENSG00000166477.8--PTGDS|ENSG00000107317.7	1
C6orf62	chr6	24716376	GNRH1	chr8	25280847	C6orf62--GNRH1	sim_brain.fusion_transcripts	C6orf62|ENSG00000112308.8--GNRH1|ENSG00000147437.5 C6orf62|ENST00000378119.4--GNRH1|ENST00000421054.2 chr6:24721064-24718768,24716552-24716376[-] chr8:25280847-25280706,25279184-25279089,25276976-25276776[-] FusedAt:2474	chr6:24716148	chr8:25423331	ONT_80	C6orf62|ENSG00000112308.8--GNRH1|ENSG00000147437.5	1
MGST2	chr4	140587231	JSRP1	chr19	2254300	MGST2--JSRP1	sim_colon.fusion_transcripts	MGST2|ENSG00000085871.4--JSRP1|ENSG00000167476.6 MGST2|ENST00000506797.1--JSRP1|ENST00000586471.2 chr4:140586989-140587231[+] chr19:2254300-2254186,2253792-2253619,2253002-2252911,2252795-2252252[-] FusedAt:243	chr4:139666077	chr19:2254301	ONT_80	MGST2|ENSG00000085871.4--JSRP1|ENSG00000167476.6	1
ARIH2	chr3	49002415	RUNX2	chr6	45479983	ARIH2--RUNX2	sim_brain.fusion_transcripts	ARIH2|ENSG00000177479.15--RUNX2|ENSG00000124813.16 ARIH2|ENST00000449376.1--RUNX2|ENST00000371438.1 chr3:48956269-48956431,48960181-48960244,48962151-48962272,48964895-48965246,48999045-48999112,49002352-49002415[+] chr6:45479983-45480144,45512954-45513019,45514564-45518816[+] FusedAt:833	chr3:48964982	chr6:45512246	ONT_80	ARIH2|ENSG00000177479.15--RUNX2|ENSG00000124813.16	1
IL7R	chr5	35857161	KCNJ3	chr2	155711239	IL7R--KCNJ3	sim_testis.fusion_transcripts	IL7R|ENSG00000168685.10--KCNJ3|ENSG00000162989.3 IL7R|ENST00000506850.1--KCNJ3|ENST00000295101.2 chr5:35856993-35857161[+] chr2:155711239-155714863[+] FusedAt:169	chr5:35857059	chr2:154854727	ONT_80	IL7R|ENSG00000168685.10--KCNJ3|ENSG00000162989.3	1
TMEM30C	chr3	99904722	AKR7A2	chr1	19630880	TMEM30C--AKR7A2	sim_testis.fusion_transcripts	TMEM30C|ENSG00000235156.3--AKR7A2|ENSG00000053371.8 TMEM30C|ENST00000429523.2--AKR7A2|ENST00000235835.3 chr3:99904531-99904722[+] chr1:19630880-19630459[-] FusedAt:192	chr3:100185878	chr1:19304386	ONT_80	TMEM30C|ENSG00000235156.3--AKR7A2|ENSG00000053371.8	1
LEPR	chr1	66087141	EIF3F	chr11	8016529	LEPR--EIF3F	sim_testis.fusion_transcripts	LEPR|ENSG00000116678.14--EIF3F|ENSG00000175390.8 LEPR|ENST00000344610.8--EIF3F|ENST00000537635.1 chr1:65886248-65886423,65890986-65891061,66031229-66031288,66036156-66036485,66038009-66038132,66058340-66058548,66062131-66062276,66064343-66064487,66067075-66067365,66067526-66067643,66070721-66070920,66074436-66074584,66075630-66075789,66075897-66075979,66081691-66081907,66083647-66083829,66085611-66085706,66087036-66087141[+] chr11:8016529-8016665,8016801-8016914,8017492-8017716[+] FusedAt:2869	chr1:65621458	chr11:7994982	ONT_80	LEPR|ENSG00000116678.14--EIF3F|ENSG00000175390.8	1
POU4F3	chr5	145718795	BLOC1S1	chr12	56110717	POU4F3--BLOC1S1	sim_brain.fusion_transcripts	POU4F3|ENSG00000091010.4--BLOC1S1|ENSG00000135441.3 POU4F3|ENST00000230732.4--BLOC1S1|ENST00000549147.1 chr5:145718587-145718795[+] chr12:56110717-56110789,56112875-56113871[+] FusedAt:209	chr5:146339232	chr12:55716933	ONT_80	POU4F3|ENSG00000091010.4--BLOC1S1|ENSG00000135441.3	1
MCM7	chr7	99696902	VPS16	chr20	2842261	MCM7--VPS16	sim_heart.fusion_transcripts	MCM7|ENSG00000166508.13--VPS16|ENSG00000215305.5 MCM7|ENST00000343023.6--VPS16|ENST00000453689.1 chr7:99699563-99698887,99697716-99697637,99697376-99697212,99697026-99696902[-] chr20:2842261-2842350,2843711-2843746,2843936-2844044,2844595-2844728[+] FusedAt:1047	chr7:100099279	chr20:2861615	ONT_80	MCM7|ENSG00000166508.13--VPS16|ENSG00000215305.5	1
DUSP19	chr2	183948282	SIK2	chr11	111486967	DUSP19--SIK2	sim_adipose.fusion_transcripts	DUSP19|ENSG00000162999.8--SIK2|ENSG00000170145.4 DUSP19|ENST00000342619.6--SIK2|ENST00000304987.3 chr2:183943287-183943887,183948236-183948282[+] chr11:111486967-111487083,111491063-111491126,111558725-111558886,111571610-111571734,111572176-111572299,111573927-111574147,111575711-111575863,111582935-111583099,111590499-111590727,111591202-111591486,111591623-111591786,111592554-111592664,111593389-111593480,111594220-111601577[+] FusedAt:648	chr2:183083554	chr11:111616243	ONT_85	DUSP19|ENSG00000162999.8--SIK2|ENSG00000170145.4	146
CDON	chr11	125853767	GJB3	chr1	35250339	CDON--GJB3	sim_colon.fusion_transcripts	CDON|ENSG00000064309.10--GJB3|ENSG00000188910.7 CDON|ENST00000531738.1--GJB3|ENST00000373362.3 chr11:125874340-125873797,125871745-125871614,125867305-125867102,125864947-125864766,125864284-125864179,125859654-125859532,125853988-125853767[-] chr1:35250339-35251970[+] FusedAt:1513	chr11:125983872	chr1:34784738	ONT_85	CDON|ENSG00000064309.10--GJB3|ENSG00000188910.7	137
ACTR8	chr3	53909975	ARHGEF9	chrX	62875617	ACTR8--ARHGEF9	sim_testis.fusion_transcripts	ACTR8|ENSG00000113812.9--ARHGEF9|ENSG00000131089.9 ACTR8|ENST00000482349.1--ARHGEF9|ENST00000253401.6 chr3:53915851-53915693,53914099-53913966,53912494-53912384,53911778-53911674,53911414-53911241,53910740-53910647,53910107-53909975[-] chrX:62875617-62875374,62863928-62863860,62858089-62854847[-] FusedAt:910	chr3:53875948	chrX:63655737	ONT_85	ACTR8|ENSG00000113812.9--ARHGEF9|ENSG00000131089.9	132
ZFP57	chr6	29643163	MUC3A	chr7	100549481	ZFP57--MUC3A	sim_testis.fusion_transcripts	ZFP57|ENSG00000204644.5--MUC3A|ENSG00000228273.2 ZFP57|ENST00000376881.3--MUC3A|ENST00000379458.4 chr6:29644780-29644751,29644690-29644658,29643836-29643710,29643264-29643163[-] chr7:100549481-100550424[+] FusedAt:292	chr6:29675386	chr7:100951841	ONT_85	ZFP57|ENSG00000204644.5--MUC3A|ENSG00000228273.2	131
SLC34A3	chr9	140126613	PCDHA12	chr5	140389212	SLC34A3--PCDHA12	sim_testis.fusion_transcripts	SLC34A3|ENSG00000198569.5--PCDHA12|ENSG00000251664.2 SLC34A3|ENST00000361134.2--PCDHA12|ENST00000398631.2 chr9:140125385-140125531,140126116-140126239,140126524-140126613[+] chr5:140389212-140391929[+] FusedAt:361	chr9:137232161	chr5:141009627	ONT_85	SLC34A3|ENSG00000198569.5--PCDHA12|ENSG00000251664.2	128
BCL11B	chr14	99737498	BCKDK	chr16	31122621	BCL11B--BCKDK	sim_brain.fusion_transcripts	BCL11B|ENSG00000127152.13--BCKDK|ENSG00000103507.9 BCL11B|ENST00000345514.2--BCKDK|ENST00000394951.1 chr14:99737822-99737498[-] chr16:31122621-31122710,31123190-31123348,31123442-31123888[+] FusedAt:325	chr14:99271161	chr16:31111300	ONT_85	BCL11B|ENSG00000127152.13--BCKDK|ENSG00000103507.9	126
GLP2R	chr17	9760893	CALM3	chr19	47111739	GLP2R--CALM3	sim_heart.fusion_transcripts	GLP2R|ENSG00000065325.8--CALM3|ENSG00000160014.12 GLP2R|ENST00000304773.5--CALM3|ENST00000391918.2 chr17:9745802-9745933,9757812-9757918,9760740-9760893[+] chr19:47111739-47111845,47112103-47112238,47112382-47112562[+] FusedAt:393	chr17:9857576	chr19:46608482	ONT_85	GLP2R|ENSG00000065325.8--CALM3|ENSG00000160014.12	125
ME3	chr11	86161343	NEUROG2	chr4	113436632	ME3--NEUROG2	sim_heart.fusion_transcripts	ME3|ENSG00000151376.12--NEUROG2|ENSG00000178403.3 ME3|ENST00000359636.2--NEUROG2|ENST00000313341.3 chr11:86383427-86383340,86383000-86382804,86270865-86270732,86267744-86267595,86219909-86219834,86209166-86209005,86198482-86198379,86176242-86176133,86161440-86161343[-] chr4:113436632-113434672[-] FusedAt:1119	chr11:86450301	chr4:112515476	ONT_85	ME3|ENSG00000151376.12--NEUROG2|ENSG00000178403.3	125
MRPS10	chr6	42176596	VTCN1	chr1	117695991	MRPS10--VTCN1	sim_adipose.fusion_transcripts	MRPS10|ENSG00000048544.5--VTCN1|ENSG00000134258.12 MRPS10|ENST00000053468.3--VTCN1|ENST00000359008.4 chr6:42185603-42185540,42182082-42182018,42181930-42181858,42179655-42179519,42178334-42178226,42176685-42176596[-] chr1:117695991-117695713,117690404-117690235,117687847-117686209[-] FusedAt:538	chr6:42208858	chr1:117153369	ONT_85	MRPS10|ENSG00000048544.5--VTCN1|ENSG00000134258.12	125
PCSK5	chr9	78854081	FOXP4	chr6	41552507	PCSK5--FOXP4	sim_colon.fusion_transcripts	PCSK5|ENSG00000099139.9--FOXP4|ENSG00000137166.10 PCSK5|ENST00000545128.1--FOXP4|ENST00000409208.1 chr9:78505560-78506289,78547295-78547399,78601048-78601161,78638654-78638797,78641877-78641953,78682871-78682959,78686642-78686814,78710806-78711018,78722167-78722267,78749025-78749128,78771961-78772078,78773899-78774087,78784620-78784756,78789902-78790045,78794512-78794614,78796314-78796507,78799589-78799673,78803494-78803591,78804010-78804139,78804547-78804662,78842419-78842521,78848376-78848512,78853875-78854081[+] chr6:41552507-41552629,41553169-41553255,41554747-41554894,41555037-41555250,41555531-41555635,41556382-41556469,41557509-41557592,41557737-41557908,41558009-41558085,41558959-41559060,41562608-41562729,41564914-41564980,41565519-41565688,41566527-41567697[+] FusedAt:3611	chr9:76239165	chr6:41584769	ONT_85	PCSK5|ENSG00000099139.9--FOXP4|ENSG00000137166.10	124
NPIPB8	chr16	28667844	KISS1R	chr19	919490	NPIPB8--KISS1R	sim_heart.fusion_transcripts	NPIPB8|ENSG00000255524.3--KISS1R|ENSG00000116014.5 NPIPB8|ENST00000526428.1--KISS1R|ENST00000234371.5 chr16:28663555-28663685,28667784-28667844[+] chr19:919490-919625,919874-920106,920290-921015[+] FusedAt:192	chr16:28656523	chr19:919490	ONT_85	NPIPB8|ENSG00000255524.3--KISS1R|ENSG00000116014.5	124
PCDH11Y	chrY	5483316	TMEM31	chrX	102968522	PCDH11Y--TMEM31	sim_adipose.fusion_transcripts	PCDH11Y|ENSG00000099715.10--TMEM31|ENSG00000179363.6 PCDH11Y|ENST00000215473.6--TMEM31|ENST00000319560.6 chrY:4924865-4925500,4966256-4968748,5369098-5369296,5483308-5483316[+] chrX:102968522-102968956[+] FusedAt:3337	chrY:5615275	chrX:103713594	ONT_85	PCDH11Y|ENSG00000099715.10--TMEM31|ENSG00000179363.6	124
TM4SF2	chrX	37285253	UGT3A2	chr5	36038118	TM4SF2--UGT3A2	sim_testis.fusion_transcripts	TM4SF2|ENSG00000250349.3--UGT3A2|ENSG00000168671.5 TM4SF2|ENST00000465127.1--UGT3A2|ENST00000545528.1 chrX:37208583-37208648,37265462-37265512,37285093-37285253[+] chr5:36038118-36037899,36036076-36035457[-] FusedAt:278	chrX:37426000	chr5:36038016	ONT_85	TM4SF2|ENSG00000250349.3--UGT3A2|ENSG00000168671.5	123
WDYHV1	chr8	124442273	RDH11	chr14	68159769	WDYHV1--RDH11	sim_heart.fusion_transcripts	WDYHV1|ENSG00000156795.2--RDH11|ENSG00000072042.8 WDYHV1|ENST00000523356.1--RDH11|ENST00000428130.2 chr8:124429053-124429172,124440164-124440263,124442223-124442273[+] chr14:68159769-68159651,68159310-68159155,68157961-68157857,68151921-68151732,68145140-68144751[-] FusedAt:271	chr8:123430033	chr14:67693052	ONT_85	WDYHV1|ENSG00000156795.2--RDH11|ENSG00000072042.8	122
GTF3C1	chr16	27499875	TMEM79	chr1	156256051	GTF3C1--TMEM79	sim_adipose.fusion_transcripts	GTF3C1|ENSG00000077235.13--TMEM79|ENSG00000163472.14 GTF3C1|ENST00000356183.4--TMEM79|ENST00000405535.2 chr16:27561227-27560991,27556844-27556635,27549677-27549501,27549248-27549105,27544708-27544612,27540042-27539919,27523222-27523070,27519976-27519861,27518477-27518168,27517437-27517220,27514316-27514180,27512665-27512512,27510054-27509951,27509142-27508958,27506813-27506532,27506229-27506084,27504617-27504520,27504034-27503938,27503836-27503659,27501064-27500923,27500499-27500364,27499956-27499875[-] chr1:156256051-156256264,156261176-156262234[+] FusedAt:3527	chr16:27488554	chr1:156286260	ONT_85	GTF3C1|ENSG00000077235.13--TMEM79|ENSG00000163472.14	121
GIT1	chr17	27903096	SOCS1	chr16	11349385	GIT1--SOCS1	sim_brain.fusion_transcripts	GIT1|ENSG00000108262.11--SOCS1|ENSG00000185338.4 GIT1|ENST00000225394.3--SOCS1|ENST00000332029.2 chr17:27916645-27916345,27910634-27910501,27910055-27909943,27909821-27909716,27909162-27908945,27908854-27908760,27908398-27908356,27905797-27905749,27905389-27905317,27904760-27904663,27904265-27904154,27904014-27903881,27903692-27903540,27903468-27903238,27903149-27903096[-] chr16:11349385-11348262[-] FusedAt:1914	chr17:29576078	chr16:11255528	ONT_85	GIT1|ENSG00000108262.11--SOCS1|ENSG00000185338.4	121
MIF	chr22	24236769	TRAF5	chr1	211545470	MIF--TRAF5	sim_heart.fusion_transcripts	MIF|ENSG00000240972.1--TRAF5|ENSG00000082512.10 MIF|ENST00000215754.7--TRAF5|ENST00000261464.5 chr22:24236191-24236769[+] chr1:211545470-211548288[+] FusedAt:579	chr22:23894582	chr1:211372128	ONT_85	MIF|ENSG00000240972.1--TRAF5|ENSG00000082512.10	120
KRT15	chr17	39673335	OBSL1	chr2	220423181	KRT15--OBSL1	sim_brain.fusion_transcripts	KRT15|ENSG00000171346.9--OBSL1|ENSG00000124006.10 KRT15|ENST00000497016.1--OBSL1|ENST00000404537.1 chr17:39678153-39677937,39676124-39675917,39674713-39674582,39673417-39673335[-] chr2:220423181-220422906,220422832-220422545,220422340-220422065,220421445-220421176,220421014-220420742,220419462-220419196,220418408-220418296,220417746-220417590,220417419-220417258,220416938-220416834,220416520-220416251,220415564-220415464[-] FusedAt:640	chr17:41517083	chr2:219558459	ONT_85	KRT15|ENSG00000171346.9--OBSL1|ENSG00000124006.10	117
SLC29A1	chr6	44200743	TPTE2	chr13	20039458	SLC29A1--TPTE2	sim_heart.fusion_transcripts	SLC29A1|ENSG00000112759.12--TPTE2|ENSG00000132958.13 SLC29A1|ENST00000371713.1--TPTE2|ENST00000382978.1 chr6:44191560-44191692,44195000-44195079,44197127-44197208,44197326-44197528,44197644-44197783,44198084-44198218,44198305-44198402,44198548-44198626,44199101-44199198,44199735-44199843,44200080-44200165,44200544-44200743[+] chr13:20039458-20039395,20038660-20038596,20025365-20025305,20024484-20024403,20024304-20024216,20012293-20012232,20010446-20010366,20006718-20006613,20004687-20004608,20000657-20000565,19999157-19999087,19997304-19997017[-] FusedAt:1443	chr6:44233006	chr13:19465318	ONT_85	SLC29A1|ENSG00000112759.12--TPTE2|ENSG00000132958.13	117
PCDH9	chr13	67205342	DMTN	chr8	21924216	PCDH9--DMTN	sim_heart.fusion_transcripts	PCDH9|ENSG00000184226.10--DMTN|ENSG00000158856.13 PCDH9|ENST00000544246.1--DMTN|ENST00000522148.1 chr13:67804468-67803912,67802707-67799537,67477737-67477636,67205543-67205342[-] chr8:21924216-21924404,21925038-21925193,21926527-21926567[+] FusedAt:4032	chr13:66631210	chr8:22066705	ONT_85	PCDH9|ENSG00000184226.10--DMTN|ENSG00000158856.13	117
FAM83G	chr17	18891560	PLCXD1	chrX	200834	FAM83G--PLCXD1	sim_adipose.fusion_transcripts	FAM83G|ENSG00000188522.10--PLCXD1|ENSG00000182378.8 FAM83G|ENST00000388995.6--PLCXD1|ENST00000445062.1 chr17:18908117-18908022,18907482-18906833,18891727-18891560[-] chrX:200834-200981,205400-205536[+] FusedAt:914	chr17:18988247	chrX:284167	ONT_85	FAM83G|ENSG00000188522.10--PLCXD1|ENSG00000182378.8	117
BMP6	chr6	7861832	BTNL8	chr5	180376904	BMP6--BTNL8	sim_heart.fusion_transcripts	BMP6|ENSG00000153162.8--BTNL8|ENSG00000113303.7 BMP6|ENST00000283147.6--BTNL8|ENST00000400707.3 chr6:7727030-7727852,7845373-7845565,7861684-7861832[+] chr5:180376904-180377661[+] FusedAt:1165	chr6:7861599	chr5:180949904	ONT_85	BMP6|ENSG00000153162.8--BTNL8|ENSG00000113303.7	117
PARD6G	chr18	77960593	MYO1G	chr7	45009082	PARD6G--MYO1G	sim_testis.fusion_transcripts	PARD6G|ENSG00000178184.11--MYO1G|ENSG00000136286.10 PARD6G|ENST00000353265.3--MYO1G|ENST00000258787.7 chr18:78005429-78005160,77960815-77960593[-] chr7:45009082-45009012,45007557-45007483,45007336-45007204,45006437-45006271,45005879-45005672,45005459-45005236,45004688-45004544,45004118-45004014,45003761-45003648,45002723-45002569,45002494-45002265[-] FusedAt:493	chr18:80202710	chr7:44969483	ONT_85	PARD6G|ENSG00000178184.11--MYO1G|ENSG00000136286.10	116
TEX28P1	chrX	153462938	MFSD7	chr4	679700	TEX28P1--MFSD7	sim_colon.fusion_transcripts	TEX28P1|ENSG00000182242.7--MFSD7|ENSG00000169026.8 TEX28P1|ENST00000369932.3--MFSD7|ENST00000322224.4 chrX:153482755-153482656,153478957-153478230,153463073-153462938[-] chr4:679700-679624,678645-678508,678388-678272,677550-677398,677156-676999,676679-676570,676165-675618[-] FusedAt:964	chrX:154197447	chr4:685911	ONT_85	TEX28P1|ENSG00000182242.7--MFSD7|ENSG00000169026.8	115
ABCG5	chr2	44059086	DENND4C	chr9	19316415	ABCG5--DENND4C	sim_colon.fusion_transcripts	ABCG5|ENSG00000138075.7--DENND4C|ENSG00000137145.16 ABCG5|ENST00000405322.1--DENND4C|ENST00000380432.2 chr2:44065891-44064973,44059222-44059086[-] chr9:19316415-19316515,19316619-19316837,19324360-19324505,19325937-19325972,19326062-19326192,19328028-19328160,19331976-19332182,19334975-19335103,19336268-19336412,19340990-19341112,19342631-19342777,19345919-19347084,19350700-19350877,19352071-19352180,19352488-19352663,19356970-19357152,19357963-19358158,19360242-19360487,19361844-19361961,19369835-19369985,19371754-19371818,19372035-19374139[+] FusedAt:1056	chr2:43831947	chr9:19316417	ONT_85	ABCG5|ENSG00000138075.7--DENND4C|ENSG00000137145.16	114
