LeftBreakPoint	RightBreakPoint	FusionName	Breakpoint	BreakpointLexSort	FusionLexSort	num_LR	sim_data_name
chr3:196361844	chr10:132404626	UBXN7--PWWP2B	chr3:196361844--chr10:132404626	chr10:132404626--chr3:196361844	PWWP2B--UBXN7	5	cov5_pass5
chr3:196371896	chr4:97187833	UBXN7--STPG2	chr3:196371896--chr4:97187833	chr3:196371896--chr4:97187833	STPG2--UBXN7	5	cov5_pass5
chr10:13233735	chr1:169419159	UCMA--CCDC181	chr10:13233735--chr1:169419159	chr10:13233735--chr1:169419159	CCDC181--UCMA	5	cov5_pass5
chr2:233767165	chr1:59833405	UGT1A7--HOOK1	chr2:233767165--chr1:59833405	chr1:59833405--chr2:233767165	HOOK1--UGT1A7	5	cov5_pass5
chr1:28567413	chr11:66258584	TRNAU1AP--KLC2	chr1:28567413--chr11:66258584	chr11:66258584--chr1:28567413	KLC2--TRNAU1AP	5	cov5_pass5
chr4:8465561	chr7:57468724	TRMT44--ZNF716	chr4:8465561--chr7:57468724	chr4:8465561--chr7:57468724	TRMT44--ZNF716	5	cov5_pass5
chr6:125986622	chr15:88639343	TRMT11--ISG20	chr6:125986622--chr15:88639343	chr15:88639343--chr6:125986622	ISG20--TRMT11	5	cov5_pass5
chr17:7560167	chr7:90726567	TNFSF13--CDK14	chr17:7560167--chr7:90726567	chr17:7560167--chr7:90726567	CDK14--TNFSF13	5	cov5_pass5
chr16:3021689	chr6:105133588	TNFRSF12A--BVES	chr16:3021689--chr6:105133588	chr16:3021689--chr6:105133588	BVES--TNFRSF12A	5	cov5_pass5
chr22:41926101	chr14:59927911	TNFRSF13C--LRRC9	chr22:41926101--chr14:59927911	chr14:59927911--chr22:41926101	LRRC9--TNFRSF13C	5	cov5_pass5
chr16:11965454	chr8:29110070	TNFRSF17--KIF13B	chr16:11965454--chr8:29110070	chr16:11965454--chr8:29110070	KIF13B--TNFRSF17	5	cov5_pass5
chr20:63697191	chr6:161116850	TNFRSF6B--MAP3K4	chr20:63697191--chr6:161116850	chr20:63697191--chr6:161116850	MAP3K4--TNFRSF6B	5	cov5_pass5
chr17:7559893	chr4:99428174	TNFSF12--ADH7	chr17:7559893--chr4:99428174	chr17:7559893--chr4:99428174	ADH7--TNFSF12	5	cov5_pass5
chr17:7549312	chr1:28613361	TNFSF12--TAF12	chr17:7549312--chr1:28613361	chr17:7549312--chr1:28613361	TAF12--TNFSF12	5	cov5_pass5
chr13:108303365	chr3:49244646	TNFSF13B--CCDC36	chr13:108303365--chr3:49244646	chr13:108303365--chr3:49244646	CCDC36--TNFSF13B	5	cov5_pass5
chr19:6667113	chr1:226071351	TNFSF14--H3F3A	chr19:6667113--chr1:226071351	chr19:6667113--chr1:226071351	H3F3A--TNFSF14	5	cov5_pass5
chr14:51000683	chr6:44116629	TRIM9--MRPL14	chr14:51000683--chr6:44116629	chr14:51000683--chr6:44116629	MRPL14--TRIM9	5	cov5_pass5
chr6:31576579	chr6:110438847	TNF--SLC22A16	chr6:31576579--chr6:110438847	chr6:110438847--chr6:31576579	SLC22A16--TNF	5	cov5_pass5
chr5:151063613	chr3:43055432	TNIP1--FAM198A	chr5:151063613--chr3:43055432	chr3:43055432--chr5:151063613	FAM198A--TNIP1	5	cov5_pass5
chr17:7383089	chr2:24067851	TNK1--SF3B14	chr17:7383089--chr2:24067851	chr17:7383089--chr2:24067851	SF3B14--TNK1	5	cov5_pass5
chr1:201410326	chr12:92144447	TNNI1--BTG1	chr1:201410326--chr12:92144447	chr12:92144447--chr1:201410326	BTG1--TNNI1	5	cov5_pass5
chr1:175097683	chr17:34357475	TNN--CCL13	chr1:175097683--chr17:34357475	chr17:34357475--chr1:175097683	CCL13--TNN	5	cov5_pass5
chr2:217897798	chr7:36357590	TNS1--KIAA0895	chr2:217897798--chr7:36357590	chr2:217897798--chr7:36357590	KIAA0895--TNS1	5	cov5_pass5
chr7:47529036	chr1:197133595	TNS3--ASPM	chr7:47529036--chr1:197133595	chr1:197133595--chr7:47529036	ASPM--TNS3	5	cov5_pass5
chr8:118932931	chr3:167529239	TNFRSF11B--WDR49	chr8:118932931--chr3:167529239	chr3:167529239--chr8:118932931	TNFRSF11B--WDR49	5	cov5_pass5
chr8:23114770	chr19:58285717	TNFRSF10C--ZNF8	chr8:23114770--chr19:58285717	chr19:58285717--chr8:23114770	TNFRSF10C--ZNF8	5	cov5_pass5
chr12:88148504	chr15:55360944	TMTC3--CCPG1	chr12:88148504--chr15:55360944	chr12:88148504--chr15:55360944	CCPG1--TMTC3	5	cov5_pass5
chr22:37075135	chr2:68950263	TMPRSS6--GKN2	chr22:37075135--chr2:68950263	chr22:37075135--chr2:68950263	GKN2--TMPRSS6	5	cov5_pass5
chr6:157322705	chr2:207714342	TMEM242--CCNYL1	chr6:157322705--chr2:207714342	chr2:207714342--chr6:157322705	CCNYL1--TMEM242	5	cov5_pass5
chr6:129861156	chrX:101281775	TMEM244--TAF7L	chr6:129861156--chrX:101281775	chr6:129861156--chrX:101281775	TAF7L--TMEM244	5	cov5_pass5
chr11:118533551	chr18:10539762	TMEM25--NAPG	chr11:118533551--chr18:10539762	chr11:118533551--chr18:10539762	NAPG--TMEM25	5	cov5_pass5
chr3:100185878	chr1:19304386	TMEM30C--AKR7A2	chr3:100185878--chr1:19304386	chr1:19304386--chr3:100185878	AKR7A2--TMEM30C	5	cov5_pass5
chr3:12735555	chr1:21821450	TMEM40--LDLRAD2	chr3:12735555--chr1:21821450	chr1:21821450--chr3:12735555	LDLRAD2--TMEM40	5	cov5_pass5
chr1:54981080	chr4:8389734	TMEM61--ACOX3	chr1:54981080--chr4:8389734	chr1:54981080--chr4:8389734	ACOX3--TMEM61	5	cov5_pass5
chr8:90645111	chr22:23753150	TMEM64--VPREB3	chr8:90645111--chr22:23753150	chr22:23753150--chr8:90645111	TMEM64--VPREB3	5	cov5_pass5
chr8:124327354	chr6:42051357	TMEM65--TAF8	chr8:124327354--chr6:42051357	chr6:42051357--chr8:124327354	TAF8--TMEM65	5	cov5_pass5
chr19:41382921	chr8:143274720	TMEM91--GLI4	chr19:41382921--chr8:143274720	chr19:41382921--chr8:143274720	GLI4--TMEM91	5	cov5_pass5
chr17:50274570	chr2:43783520	TMEM92--DYNC2LI1	chr17:50274570--chr2:43783520	chr17:50274570--chr2:43783520	DYNC2LI1--TMEM92	5	cov5_pass5
chr3:69035023	chr19:18667401	TMF1--KLHL26	chr3:69035023--chr19:18667401	chr19:18667401--chr3:69035023	KLHL26--TMF1	5	cov5_pass5
chr15:51806521	chr19:3750138	TMOD2--TJP3	chr15:51806521--chr19:3750138	chr15:51806521--chr19:3750138	TJP3--TMOD2	5	cov5_pass5
chr4:68241689	chr10:43481429	TMPRSS11B--ZNF487	chr4:68241689--chr10:43481429	chr10:43481429--chr4:68241689	TMPRSS11B--ZNF487	5	cov5_pass5
chr11:117909806	chr15:68945599	TMPRSS13--SPESP1	chr11:117909806--chr15:68945599	chr11:117909806--chr15:68945599	SPESP1--TMPRSS13	5	cov5_pass5
chr21:42388929	chr6:109369017	TMPRSS3--CD164	chr21:42388929--chr6:109369017	chr21:42388929--chr6:109369017	CD164--TMPRSS3	5	cov5_pass5
chr22:35317961	chr22:18170753	TOM1--USP18	chr22:35317961--chr22:18170753	chr22:18170753--chr22:35317961	TOM1--USP18	5	cov5_pass5
chr14:58396341	chr2:187484987	TOMM20L--TFPI	chr14:58396341--chr2:187484987	chr14:58396341--chr2:187484987	TFPI--TOMM20L	5	cov5_pass5
chr19:44901104	chr2:186837554	TOMM40--ZSWIM2	chr19:44901104--chr2:186837554	chr19:44901104--chr2:186837554	TOMM40--ZSWIM2	5	cov5_pass5
chr17:7931731	chr17:72122719	TRAPPC1--SOX9	chr17:7931731--chr17:72122719	chr17:72122719--chr17:7931731	SOX9--TRAPPC1	5	cov5_pass5
chr14:22040714	chr2:27708496	TRAV20--AC074091.13	chr14:22040714--chr2:27708496	chr14:22040714--chr2:27708496	AC074091.13--TRAV20	5	cov5_pass5
chr14:22070741	chr2:68186652	TRAV22--PPP3R1	chr14:22070741--chr2:68186652	chr14:22070741--chr2:68186652	PPP3R1--TRAV22	5	cov5_pass5
chr14:22148137	chr17:82019909	TRAV27--STRA13	chr14:22148137--chr17:82019909	chr14:22148137--chr17:82019909	STRA13--TRAV27	5	cov5_pass5
chr14:22463210	chr16:29744951	TRDC--C16ORF54	chr14:22463210--chr16:29744951	chr14:22463210--chr16:29744951	C16ORF54--TRDC	5	cov5_pass5
chr14:22422591	chr20:23825323	TRDV2--CST2	chr14:22422591--chr20:23825323	chr14:22422591--chr20:23825323	CST2--TRDV2	5	cov5_pass5
chr7:38368013	chr21:29039026	TRGV1--USP16	chr7:38368013--chr21:29039026	chr21:29039026--chr7:38368013	TRGV1--USP16	5	cov5_pass5
chr7:38358937	chrX:24727782	TRGV3--POLA1	chr7:38358937--chrX:24727782	chr7:38358937--chrX:24727782	POLA1--TRGV3	5	cov5_pass5
chr9:98099931	chr17:44198130	TRIM14--ATXN7L3	chr9:98099931--chr17:44198130	chr17:44198130--chr9:98099931	ATXN7L3--TRIM14	5	cov5_pass5
chr4:153324148	chrX:49199033	TRIM2--SYP	chr4:153324148--chrX:49199033	chr4:153324148--chrX:49199033	SYP--TRIM2	5	cov5_pass5
chr8:27294080	chr2:74456103	TRIM35--INO80B	chr8:27294080--chr2:74456103	chr2:74456103--chr8:27294080	INO80B--TRIM35	5	cov5_pass5
chr6:30147209	chr10:93685359	TRIM40--FRA10AC1	chr6:30147209--chr10:93685359	chr10:93685359--chr6:30147209	FRA10AC1--TRIM40	5	cov5_pass5
chr3:160438232	chr10:15096865	TRIM59--C10ORF111	chr3:160438232--chr10:15096865	chr10:15096865--chr3:160438232	C10ORF111--TRIM59	5	cov5_pass5
chr3:160438232	chr14:36662897	TRIM59--PAX9	chr3:160438232--chr14:36662897	chr14:36662897--chr3:160438232	PAX9--TRIM59	5	cov5_pass5
chr11:5678204	chr14:36666462	TRIM5--PAX9	chr11:5678204--chr14:36666462	chr11:5678204--chr14:36666462	PAX9--TRIM5	5	cov5_pass5
chr1:26057203	chr2:206573115	TRIM63--ADAM23	chr1:26057203--chr2:206573115	chr1:26057203--chr2:206573115	ADAM23--TRIM63	5	cov5_pass5
chr11:119021886	chr16:1078842	TRAPPC4--SSTR5	chr11:119021886--chr16:1078842	chr11:119021886--chr16:1078842	SSTR5--TRAPPC4	5	cov5_pass5
chr4:183679486	chr19:54573831	TRAPPC11--LILRA2	chr4:183679486--chr19:54573831	chr19:54573831--chr4:183679486	LILRA2--TRAPPC11	5	cov5_pass5
chr9:37592291	chr17:42962295	TOMM5--AARSD1	chr9:37592291--chr17:42962295	chr17:42962295--chr9:37592291	AARSD1--TOMM5	5	cov5_pass5
chr1:209775736	chr2:161417676	TRAF3IP3--TBR1	chr1:209775736--chr2:161417676	chr1:209775736--chr2:161417676	TBR1--TRAF3IP3	5	cov5_pass5
chr1:179882977	chr3:108636616	TOR1AIP1--DZIP3	chr1:179882977--chr3:108636616	chr1:179882977--chr3:108636616	DZIP3--TOR1AIP1	5	cov5_pass5
chr1:179094217	chr1:150550615	TOR3A--AL356356.1	chr1:179094217--chr1:150550615	chr1:150550615--chr1:179094217	AL356356.1--TOR3A	5	cov5_pass5
chr1:179082387	chr8:81480598	TOR3A--FABP4	chr1:179082387--chr8:81480598	chr1:179082387--chr8:81480598	FABP4--TOR3A	5	cov5_pass5
chr1:179082387	chr8:81680783	TOR3A--IMPA1	chr1:179082387--chr8:81680783	chr1:179082387--chr8:81680783	IMPA1--TOR3A	5	cov5_pass5
chr8:58838081	chr17:58541966	TOX--C17ORF47	chr8:58838081--chr17:58541966	chr17:58541966--chr8:58838081	C17ORF47--TOX	5	cov5_pass5
chr16:33361270	chr9:37780880	TP53TG3B--EXOSC3	chr16:33361270--chr9:37780880	chr16:33361270--chr9:37780880	EXOSC3--TP53TG3B	5	cov5_pass5
chr20:45375039	chr17:3577192	TP53TG5--SHPK	chr20:45375039--chr17:3577192	chr17:3577192--chr20:45375039	SHPK--TP53TG5	5	cov5_pass5
chr9:35685269	chr2:203448079	TPM2--RAPH1	chr9:35685269--chr2:203448079	chr2:203448079--chr9:35685269	RAPH1--TPM2	5	cov5_pass5
chr2:1436384	chr5:160010500	TPO--TTC1	chr2:1436384--chr5:160010500	chr2:1436384--chr5:160010500	TPO--TTC1	5	cov5_pass5
chr3:127576990	chr11:20159292	TPRA1--DBX1	chr3:127576990--chr11:20159292	chr11:20159292--chr3:127576990	DBX1--TPRA1	5	cov5_pass5
chr16:1257062	chr4:188101250	TPSD1--TRIML2	chr16:1257062--chr4:188101250	chr16:1257062--chr4:188101250	TPSD1--TRIML2	5	cov5_pass5
chr20:31770471	chr19:55433796	TPX2--SHISA7	chr20:31770471--chr19:55433796	chr19:55433796--chr20:31770471	SHISA7--TPX2	5	cov5_pass5
chr14:22550664	chr17:41690088	TRAC--EIF1	chr14:22550664--chr17:41690088	chr14:22550664--chr17:41690088	EIF1--TRAC	5	cov5_pass5
chr14:22550664	chr17:76265907	TRAC--UBALD2	chr14:22550664--chr17:76265907	chr14:22550664--chr17:76265907	TRAC--UBALD2	5	cov5_pass5
chr9:120914235	chr22:37690697	TRAF1--NOL12	chr9:120914235--chr22:37690697	chr22:37690697--chr9:120914235	NOL12--TRAF1	5	cov5_pass5
chr3:191278072	chr11:62827398	UTS2B--STX5	chr3:191278072--chr11:62827398	chr11:62827398--chr3:191278072	STX5--UTS2B	5	cov5_pass5
chr10:74114899	chr16:27777610	VCL--KIAA0556	chr10:74114899--chr16:27777610	chr10:74114899--chr16:27777610	KIAA0556--VCL	5	cov5_pass5
chr3:171853850	chr14:24102753	TMEM212--PCK2	chr3:171853850--chr14:24102753	chr14:24102753--chr3:171853850	PCK2--TMEM212	5	cov5_pass5
chr7:100075135	chr19:46714001	ZNF3--PRKD2	chr7:100075135--chr19:46714001	chr19:46714001--chr7:100075135	PRKD2--ZNF3	5	cov5_pass5
chr6:43357126	chr6:18132177	ZNF318--TPMT	chr6:43357126--chr6:18132177	chr6:18132177--chr6:43357126	TPMT--ZNF318	5	cov5_pass5
chr5:177062151	chr6:75914813	ZNF346--MYO6	chr5:177062151--chr6:75914813	chr5:177062151--chr6:75914813	MYO6--ZNF346	5	cov5_pass5
chr8:28360885	chr14:100529068	ZNF395--WDR25	chr8:28360885--chr14:100529068	chr14:100529068--chr8:28360885	WDR25--ZNF395	5	cov5_pass5
chr18:35373876	chr17:81823513	ZNF396--FAM195B	chr18:35373876--chr17:81823513	chr17:81823513--chr18:35373876	FAM195B--ZNF396	5	cov5_pass5
chr18:35373456	chr10:45304500	ZNF396--OR13A1	chr18:35373456--chr10:45304500	chr10:45304500--chr18:35373456	OR13A1--ZNF396	5	cov5_pass5
chr18:35242884	chr5:43702621	ZNF397--NNT	chr18:35242884--chr5:43702621	chr18:35242884--chr5:43702621	NNT--ZNF397	5	cov5_pass5
chr7:100075135	chr2:240463347	ZNF3--GPC1	chr7:100075135--chr2:240463347	chr2:240463347--chr7:100075135	GPC1--ZNF3	5	cov5_pass5
chr19:12035537	chr3:184342744	ZNF433--FAM131A	chr19:12035537--chr3:184342744	chr19:12035537--chr3:184342744	FAM131A--ZNF433	5	cov5_pass5
chr19:36712512	chr15:56635250	ZNF567--ZNF280D	chr19:36712512--chr15:56635250	chr15:56635250--chr19:36712512	ZNF280D--ZNF567	5	cov5_pass5
chr10:30876998	chr15:68945599	ZNF438--SPESP1	chr10:30876998--chr15:68945599	chr10:30876998--chr15:68945599	SPESP1--ZNF438	5	cov5_pass5
chr10:43476202	chr11:94306513	ZNF487--FOLR4	chr10:43476202--chr11:94306513	chr10:43476202--chr11:94306513	FOLR4--ZNF487	5	cov5_pass5
chr19:19806942	chr1:7969345	ZNF506--PARK7	chr19:19806942--chr1:7969345	chr19:19806942--chr1:7969345	PARK7--ZNF506	5	cov5_pass5
chr19:57600134	chr12:69586753	ZNF530--CCT2	chr19:57600134--chr12:69586753	chr12:69586753--chr19:57600134	CCT2--ZNF530	5	cov5_pass5
chr19:57320871	chr11:113768967	ZNF543--ZW10	chr19:57320871--chr11:113768967	chr11:113768967--chr19:57320871	ZNF543--ZW10	5	cov5_pass5
chr19:57394223	chr2:197462539	ZNF548--COQ10B	chr19:57394223--chr2:197462539	chr19:57394223--chr2:197462539	COQ10B--ZNF548	5	cov5_pass5
chr19:57552627	chr7:128841454	ZNF550--FLNC	chr19:57552627--chr7:128841454	chr19:57552627--chr7:128841454	FLNC--ZNF550	5	cov5_pass5
chr19:9158075	chr13:112858145	ZNF317--ATP11A	chr19:9158075--chr13:112858145	chr13:112858145--chr19:9158075	ATP11A--ZNF317	5	cov5_pass5
chr10:37837617	chr12:56617532	ZNF248--BAZ2A	chr10:37837617--chr12:56617532	chr10:37837617--chr12:56617532	BAZ2A--ZNF248	5	cov5_pass5
chr18:76895285	chr6:41744808	ZNF236--PGC	chr18:76895285--chr6:41744808	chr18:76895285--chr6:41744808	PGC--ZNF236	5	cov5_pass5
chr19:44442814	chrX:14604315	ZNF229--GLRA2	chr19:44442814--chrX:14604315	chr19:44442814--chrX:14604315	GLRA2--ZNF229	5	cov5_pass5
chr16:68558124	chr21:44856364	ZFP90--PTTG1IP	chr16:68558124--chr21:44856364	chr16:68558124--chr21:44856364	PTTG1IP--ZFP90	5	cov5_pass5
chrX:153420332	chr9:125960684	ZFP92--PBX3	chrX:153420332--chr9:125960684	chr9:125960684--chrX:153420332	PBX3--ZFP92	5	cov5_pass5
chr1:52274584	chr15:55365309	ZFYVE9--CCPG1	chr1:52274584--chr15:55365309	chr15:55365309--chr1:52274584	CCPG1--ZFYVE9	5	cov5_pass5
chr20:63733352	chr17:50700716	ZGPAT--ANKRD40	chr20:63733352--chr17:50700716	chr17:50700716--chr20:63733352	ANKRD40--ZGPAT	5	cov5_pass5
chr7:100029952	chr1:155965412	ZKSCAN1--ARHGEF2	chr7:100029952--chr1:155965412	chr1:155965412--chr7:100029952	ARHGEF2--ZKSCAN1	5	cov5_pass5
chr1:35014697	chr7:55161499	ZMYM6--EGFR	chr1:35014697--chr7:55161499	chr1:35014697--chr7:55161499	EGFR--ZMYM6	5	cov5_pass5
chr1:35014988	chr7:128360063	ZMYM6--PRRT4	chr1:35014988--chr7:128360063	chr1:35014988--chr7:128360063	PRRT4--ZMYM6	5	cov5_pass5
chr7:6697689	chr2:121728536	ZNF12--MKI67IP	chr7:6697689--chr2:121728536	chr2:121728536--chr7:6697689	MKI67IP--ZNF12	5	cov5_pass5
chr6:28086310	chr6:41192506	ZNF165--TREML2	chr6:28086310--chr6:41192506	chr6:28086310--chr6:41192506	TREML2--ZNF165	5	cov5_pass5
chr11:3373577	chr2:53973713	ZNF195--ACYP2	chr11:3373577--chr2:53973713	chr11:3373577--chr2:53973713	ACYP2--ZNF195	5	cov5_pass5
chr11:7002709	chr3:53181207	ZNF214--PRKCD	chr11:7002709--chr3:53181207	chr11:7002709--chr3:53181207	PRKCD--ZNF214	5	cov5_pass5
chr11:6932672	chr9:33917018	ZNF215--UBE2R2	chr11:6932672--chr9:33917018	chr11:6932672--chr9:33917018	UBE2R2--ZNF215	5	cov5_pass5
chr19:44067273	chr22:19135175	ZNF223--DGCR14	chr19:44067273--chr22:19135175	chr19:44067273--chr22:19135175	DGCR14--ZNF223	5	cov5_pass5
chr19:44100927	chr11:57333149	ZNF224--SSRP1	chr19:44100927--chr11:57333149	chr11:57333149--chr19:44100927	SSRP1--ZNF224	5	cov5_pass5
chr19:44229816	chr6:142078903	ZNF227--NMBR	chr19:44229816--chr6:142078903	chr19:44229816--chr6:142078903	NMBR--ZNF227	5	cov5_pass5
chr19:57546457	chr11:63466372	ZNF550--HRASLS5	chr19:57546457--chr11:63466372	chr11:63466372--chr19:57546457	HRASLS5--ZNF550	5	cov5_pass5
chr19:36936872	chr18:58681170	ZNF568--MALT1	chr19:36936872--chr18:58681170	chr18:58681170--chr19:36936872	MALT1--ZNF568	5	cov5_pass5
chr8:66664249	chr10:93906252	VCPIP1--SLC35G1	chr8:66664249--chr10:93906252	chr10:93906252--chr8:66664249	SLC35G1--VCPIP1	5	cov5_pass5
chr22:29044890	chr13:96832490	ZNRF3--HS6ST3	chr22:29044890--chr13:96832490	chr13:96832490--chr22:29044890	HS6ST3--ZNRF3	5	cov5_pass5
chr19:11925273	chr22:29225133	ZNF763--EMID1	chr19:11925273--chr22:29225133	chr19:11925273--chr22:29225133	EMID1--ZNF763	5	cov5_pass5
chr15:90358957	chr1:13284116	ZNF774--PRAMEF8	chr15:90358957--chr1:13284116	chr15:90358957--chr1:13284116	PRAMEF8--ZNF774	5	cov5_pass5
chr16:30585122	chr16:71162730	ZNF785--HYDIN	chr16:30585122--chr16:71162730	chr16:30585122--chr16:71162730	HYDIN--ZNF785	5	cov5_pass5
chr19:34960235	chr19:13025021	ZNF792--NFIX	chr19:34960235--chr19:13025021	chr19:13025021--chr19:34960235	NFIX--ZNF792	5	cov5_pass5
chr19:52956027	chr11:94997024	ZNF816--KDM4D	chr19:52956027--chr11:94997024	chr11:94997024--chr19:52956027	KDM4D--ZNF816	5	cov5_pass5
chr19:11738817	chr21:32582415	ZNF823--TCP10L	chr19:11738817--chr21:32582415	chr19:11738817--chr21:32582415	TCP10L--ZNF823	5	cov5_pass5
chr19:58279147	chr22:31138410	ZNF8--PLA2G3	chr19:58279147--chr22:31138410	chr19:58279147--chr22:31138410	PLA2G3--ZNF8	5	cov5_pass5
chr1:33493615	chr19:8399863	ZSCAN20--RAB11B	chr1:33493615--chr19:8399863	chr19:8399863--chr1:33493615	RAB11B--ZSCAN20	5	cov5_pass5
chr15:84799977	chr9:39358074	ZNF592--SPATA31A1	chr15:84799977--chr9:39358074	chr15:84799977--chr9:39358074	SPATA31A1--ZNF592	5	cov5_pass5
chr16:3384459	chr15:79961174	ZSCAN32--BCL2A1	chr16:3384459--chr15:79961174	chr15:79961174--chr16:3384459	BCL2A1--ZSCAN32	5	cov5_pass5
chr19:56208184	chr2:130110680	ZSCAN5C--POTEF	chr19:56208184--chr2:130110680	chr19:56208184--chr2:130110680	POTEF--ZSCAN5C	5	cov5_pass5
chr19:56246466	chr5:157675092	ZSCAN5D--C5ORF52	chr19:56246466--chr5:157675092	chr19:56246466--chr5:157675092	C5ORF52--ZSCAN5D	5	cov5_pass5
chr19:56245425	chr9:37733473	ZSCAN5D--FRMPD1	chr19:56245425--chr9:37733473	chr19:56245425--chr9:37733473	FRMPD1--ZSCAN5D	5	cov5_pass5
chr2:186833946	chr2:240698157	ZSWIM2--AQP12A	chr2:186833946--chr2:240698157	chr2:186833946--chr2:240698157	AQP12A--ZSWIM2	5	cov5_pass5
chr2:186833120	chr6:85493841	ZSWIM2--NT5E	chr2:186833120--chr6:85493841	chr2:186833120--chr6:85493841	NT5E--ZSWIM2	5	cov5_pass5
chr11:113760209	chr19:18193864	ZW10--MPV17L2	chr11:113760209--chr19:18193864	chr11:113760209--chr19:18193864	MPV17L2--ZW10	5	cov5_pass5
chr17:82831019	chr8:7823423	ZNF750--DEFB105A	chr17:82831019--chr8:7823423	chr17:82831019--chr8:7823423	DEFB105A--ZNF750	5	cov5_pass5
chr22:20400758	chr5:34035758	ZNF74--C1QTNF3	chr22:20400758--chr5:34035758	chr22:20400758--chr5:34035758	C1QTNF3--ZNF74	5	cov5_pass5
chr7:149476922	chr22:35627659	ZNF746--AL049747.1	chr7:149476922--chr22:35627659	chr22:35627659--chr7:149476922	AL049747.1--ZNF746	5	cov5_pass5
chr7:64045624	chr1:40489529	ZNF727--ZFP69	chr7:64045624--chr1:40489529	chr1:40489529--chr7:64045624	ZFP69--ZNF727	5	cov5_pass5
chr19:52001813	chr2:187484216	ZNF615--TFPI	chr19:52001813--chr2:187484216	chr19:52001813--chr2:187484216	TFPI--ZNF615	5	cov5_pass5
chr3:40482704	chr21:18315256	ZNF619--TMPRSS15	chr3:40482704--chr21:18315256	chr21:18315256--chr3:40482704	TMPRSS15--ZNF619	5	cov5_pass5
chr3:40508774	chrX:120160358	ZNF620--RHOXF2	chr3:40508774--chrX:120160358	chr3:40508774--chrX:120160358	RHOXF2--ZNF620	5	cov5_pass5
chr17:16649658	chr11:111308069	ZNF624--COLCA2	chr17:16649658--chr11:111308069	chr11:111308069--chr17:16649658	COLCA2--ZNF624	5	cov5_pass5
chr17:16649658	chr19:58040450	ZNF624--ZSCAN1	chr17:16649658--chr19:58040450	chr17:16649658--chr19:58040450	ZNF624--ZSCAN1	5	cov5_pass5
chr16:30784410	chrY:11345104	ZNF629--SLC9B1P1	chr16:30784410--chrY:11345104	chr16:30784410--chrY:11345104	SLC9B1P1--ZNF629	5	cov5_pass5
chr17:49316826	chr7:100399581	ZNF652--PILRA	chr17:49316826--chr7:100399581	chr17:49316826--chr7:100399581	PILRA--ZNF652	5	cov5_pass5
chr1:247101731	chr9:127407436	ZNF669--SLC2A8	chr1:247101731--chr9:127407436	chr1:247101731--chr9:127407436	SLC2A8--ZNF669	5	cov5_pass5
chr19:22193016	chr16:70255836	ZNF676--AARS	chr19:22193016--chr16:70255836	chr16:70255836--chr19:22193016	AARS--ZNF676	5	cov5_pass5
chr1:151288706	chr1:22081722	ZNF687--CDC42	chr1:151288706--chr1:22081722	chr1:151288706--chr1:22081722	CDC42--ZNF687	5	cov5_pass5
chr19:11903699	chr8:11546052	ZNF69--BLK	chr19:11903699--chr8:11546052	chr19:11903699--chr8:11546052	BLK--ZNF69	5	cov5_pass5
chr12:8177185	chr9:135259144	ZNF705A--AL390778.1	chr12:8177185--chr9:135259144	chr12:8177185--chr9:135259144	AL390778.1--ZNF705A	5	cov5_pass5
chr19:21310501	chr19:39329073	ZNF708--GMFG	chr19:21310501--chr19:39329073	chr19:21310501--chr19:39329073	GMFG--ZNF708	5	cov5_pass5
chr19:21310501	chr1:179847636	ZNF708--TOR1AIP2	chr19:21310501--chr1:179847636	chr19:21310501--chr1:179847636	TOR1AIP2--ZNF708	5	cov5_pass5
chr4:472575	chr3:151880559	ZNF721--SUCNR1	chr4:472575--chr3:151880559	chr3:151880559--chr4:472575	SUCNR1--ZNF721	5	cov5_pass5
chr6:29675386	chr7:100951841	ZFP57--MUC3A	chr6:29675386--chr7:100951841	chr6:29675386--chr7:100951841	MUC3A--ZFP57	5	cov5_pass5
chr14:68790983	chr6:139166284	ZFP36L1--HECA	chr14:68790983--chr6:139166284	chr14:68790983--chr6:139166284	HECA--ZFP36L1	5	cov5_pass5
chr19:37644610	chr7:99385702	ZFP30--ARPC1B	chr19:37644610--chr7:99385702	chr19:37644610--chr7:99385702	ARPC1B--ZFP30	5	cov5_pass5
chr10:1086357	chr1:92833796	WDR37--RPL5	chr10:1086357--chr1:92833796	chr10:1086357--chr1:92833796	RPL5--WDR37	5	cov5_pass5
chr1:27428761	chr3:131696616	WASF2--CPNE4	chr1:27428761--chr3:131696616	chr1:27428761--chr3:131696616	CPNE4--WASF2	5	cov5_pass5
chr1:27418954	chr12:98547573	WASF2--TMPO	chr1:27418954--chr12:98547573	chr12:98547573--chr1:27418954	TMPO--WASF2	5	cov5_pass5
chr13:26680201	chr19:35746419	WASF3--PSENEN	chr13:26680201--chr19:35746419	chr13:26680201--chr19:35746419	PSENEN--WASF3	5	cov5_pass5
chr4:84849902	chr1:12880105	WDFY3--PRAMEF4	chr4:84849902--chr1:12880105	chr1:12880105--chr4:84849902	PRAMEF4--WDFY3	5	cov5_pass5
chr4:84849902	chr14:24812732	WDFY3--STXBP6	chr4:84849902--chr14:24812732	chr14:24812732--chr4:84849902	STXBP6--WDFY3	5	cov5_pass5
